ID,Fecha de creación,Likes,Retweets,Nº comentarios,Texto
1543677299257708545,2022-07-03 19:25:22+00:00,11,12,0,"La policía danesa confirmó ""varios heridos y muertos"" en el tiroteo registrado esta tarde en el centro comercial Fields de Copenhague, sin precisar la cifra.

https://t.co/ohlsvp8bB1"
1543675078826655744,2022-07-03 19:16:33+00:00,6,9,0,Policía confirma varios muertos en un tiroteo en un centro comercial en Copenhague.
1543673213393281024,2022-07-03 19:09:08+00:00,3,1,1,"CRÓNICA  | ""The Princess"": La nueva princesa de Disney se pone violenta.

Por Javier Romualdo

https://t.co/Alc3kAPWql"
1543672872559935488,2022-07-03 19:07:47+00:00,4,2,1,"La Justicia peruana admitió el recurso de apelación del presidente Pedro Castillo contra la decisión de declarar infundada la ""tutela de derechos"" que busca anular la investigación en su contra por presuntamente liderar una red criminal desde el Ejecutivo.
https://t.co/p8mnCvGGbu"
1543668674019708930,2022-07-03 18:51:06+00:00,15,9,0,"El presidente portugués, Marcelo Rebelo de Sousa, se reunió en Sao Paulo con el exmandatario brasileño Luiz Inácio Lula da Silva e ignoró así el enojo que el solo aviso de ese encuentro le causó al gobernante Jair Bolsonaro.

https://t.co/N8JLEkYDOw"
1543668316153298944,2022-07-03 18:49:41+00:00,2,4,1,"El Gobierno colombiano rechazó las ""acusaciones mentirosas, cínicas e irresponsables"" del presidente venezolano, Nicolás Maduro, quien dijo que Colombia  activa planes para afectar la infraestructura eléctrica y atentar contra personalidades de ese país.

https://t.co/PifqGofSYW"
1543665690179166210,2022-07-03 18:39:15+00:00,13,3,0,"CRÓNICA | El turismo resurge en la Mitad del Mundo tras parar por las protestas en Ecuador.

Por Fernando Gimeno
📸 Bienvenido Velasco

https://t.co/u0o2p0iF3S https://t.co/5YSyo2MySZ"
1543664886395322370,2022-07-03 18:36:03+00:00,3,3,0,"En una simbólica ceremonia, la convención que redactó la propuesta de nueva Constitución de Chile presentará el texto final a la ciudadanía, que tendrá hasta el próximo 4 de septiembre para decidir si lo aprueba o rechaza en un plebiscito obligatorio.

https://t.co/z7seKaCKBk"
1543657888874373121,2022-07-03 18:08:15+00:00,27,24,3,#ÚLTIMAHORA | Tiroteo en un centro comercial de Copenhague. https://t.co/WWGtj0GkbX
1543651002330632196,2022-07-03 17:40:53+00:00,18,17,1,#ÚLTIMAHORA | Ucrania anuncia la retirada de sus fuerzas de la ciudad de Lisichansk. https://t.co/q9aSkaEd2K
1543650854103908353,2022-07-03 17:40:17+00:00,13,10,1,"Seis muertos y ocho heridos en desprendimiento de glaciar en Álpes italianos. 

https://t.co/R8bqdeOSiy"
1543649011739119616,2022-07-03 17:32:58+00:00,7,1,0,"CRÓNICA | Vinos sostenibles: el nuevo ""buque insignia"" de Uruguay. 

Por Alejandro Prieto

https://t.co/D6vWx5jyua"
1543625766658777088,2022-07-03 16:00:36+00:00,5,2,2,"La compañía argelina de hidrocarburos Sonatrach revisará los precios del gas en los nuevos acuerdos. 

https://t.co/uUrrZ30MN4"
1543625489801252864,2022-07-03 15:59:30+00:00,10,3,1,"Ostermeier: ""Europa cree que vive mejor porque es mejor, y no es así"". 

https://t.co/pPWZtOmYHf"
1543619222181404672,2022-07-03 15:34:36+00:00,3,3,0,"#ÚLTIMAHORA | Groenewegen se impone en el segundo ""sprint"", Van Aert sigue de líder. https://t.co/JIrSnowUcg"
1543611104638767104,2022-07-03 15:02:20+00:00,5,2,0,"Macron y Borne ultiman el cambio de Gobierno en pleno rompecabezas político. 

https://t.co/woCIfhrMJd"
1543605682305392640,2022-07-03 14:40:48+00:00,7,4,0,"CRÓNICA | Un videojuego paraguayo que adopta costumbres locales llega a las consolas PS4.  

Por Laura Barros

https://t.co/dK2LZHopGM"
1543604477617487873,2022-07-03 14:36:00+00:00,4,7,2,"ANÁLISIS | El Congreso de Perú arrecia su ofensiva contra Castillo.

Por Carla Samon Ros

https://t.co/ygGNSBSMxh"
1543603411836407810,2022-07-03 14:31:46+00:00,4,1,0,"Wonder Magnet y Ellice Aquino, ganadores del concurso K-Pop España. 

https://t.co/NVlgZfVCgl"
1543602643066621960,2022-07-03 14:28:43+00:00,6,4,0,"Portavoz ucraniano niega que Rusia tenga el control total de Lisichanks.

https://t.co/MdcZfyXK5r"
1543597637349384192,2022-07-03 14:08:50+00:00,5,2,0,"Temperaturas muy altas mañana en el tercio oriental y en Baleares. 

https://t.co/eCNLuAzKVz"
1543594923353690113,2022-07-03 13:58:02+00:00,12,6,1,"Caos en el Aeropuerto de Lisboa tras decenas de vuelos cancelados.

https://t.co/wcw1KekkSq"
1543586609181982720,2022-07-03 13:25:00+00:00,10,2,4,"Scholz ve sanciones a Rusia tras guerra como instrumento para la seguridad.

https://t.co/XOx8VEIi4m"
1543581952741097474,2022-07-03 13:06:30+00:00,2,0,0,"Las instituciones de Navarra homenajean a sus reyes en Leyre. 

https://t.co/8E6NdZmc1n"
1543572940213592064,2022-07-03 12:30:41+00:00,3,4,0,"Una Biblioteca del Futuro para la confianza mutua entre generaciones.

Por Elena Garuz
https://t.co/AniFsFNKeP"
1543572739323305986,2022-07-03 12:29:53+00:00,6,4,1,"Feijóo no intervendrá en el debate sobre el estado de la nación pero estará en la bancada.

https://t.co/bZTvImuItv"
1543568242878418944,2022-07-03 12:12:01+00:00,28,9,6,"#EFEfotos | Segunda jornada de A Rapa das Bestas en A Estrada (Pontevedra).

📸 Oscar Corral https://t.co/1R7d4IFQ54"
1543565332509597697,2022-07-03 12:00:27+00:00,7,4,1,"Diez años con la “Partícula de Dios”, que explica lo que vemos y lo que somos.

Por Isabel Saco
https://t.co/lUAC8uPdK8"
1543562833425833984,2022-07-03 11:50:32+00:00,6,6,1,"El jesuita historiador Fernando García de Cortázar ha fallecido este domingo en el Hospital de la Luz de Madrid a los 79 años, tras ingresar el pasado jueves por una perforación intestinal.

https://t.co/LjxibHs0kx"
1543561460483342336,2022-07-03 11:45:04+00:00,21,14,3,#ÚLTIMAHORA | Fallece el historiador Fernando García de Cortázar. https://t.co/cE9abTesTr
1543560575246123008,2022-07-03 11:41:33+00:00,9,6,1,La renovación del Mobile consolida a Barcelona como ciudad de congresos. https://t.co/wht4LCEqJh
1543560168474087424,2022-07-03 11:39:56+00:00,4,3,0,"Así se desprende de los datos proporcionados por USO, el sindicato que ha convocado de estos paros para los días 1, 2, 3, 15, 16, 17, 29, 30 y 31 de julio en los aeropuertos de Málaga, El Prat y Palma de Mallorca.

https://t.co/2HdETxMH0p"
1543558531072360448,2022-07-03 11:33:26+00:00,11,9,1,"En la tercera jornada de huelga, de un total de nueve, de los tripulantes de cabina de pasajeros de EasyJet en España se han cancelado 3 vuelos y retrasado otros 31 hasta las 13 horas de este domingo. https://t.co/GO3aHa9axt"
1543555473403744256,2022-07-03 11:21:17+00:00,11,2,0,"Madrid aúna el ajedrez y San Fermín en un espectáculo de partidas simultáneas.

https://t.co/g1cHEgrMSE https://t.co/yTmpISohcw"
1543545539509293057,2022-07-03 10:41:48+00:00,5,1,0,"El Barcelona 2022-23 se pone en marcha este lunes.

https://t.co/ZXQVDll4Nn https://t.co/fSJazqKBKp"
1543541004812288006,2022-07-03 10:23:47+00:00,6,8,0,"Fallece el director teatral Peter Brook a los 97 años.

https://t.co/lhE3jFnuUr"
1543539429394026497,2022-07-03 10:17:32+00:00,3,4,1,"Más de 11.000 vehículos en Algeciras y Tarifa, primer fin de semana punta de la Operación Paso del Estrecho.

https://t.co/eZVZVGaxYn"
1543537068470665219,2022-07-03 10:08:09+00:00,18,8,1,"El ministro ruso de Defensa, Serguéi Shoigú, informó hoy al presidente Vladímir Putin, de la ""liberación"" de la región de Lugansk, en el Donbás ucraniano.

https://t.co/eXiQaYIKfY"
1543536192666353680,2022-07-03 10:04:40+00:00,159,66,13,"#EFEURGENTE | El ministro ruso de Defensa anuncia la ""liberación"" de la región de Lugansk. https://t.co/a0ctoKdBxp"
1543535704092938242,2022-07-03 10:02:44+00:00,3,1,0,"La Monumental de Pamplona: cien años y mil y una tardes de historia.

https://t.co/pqvGK4Q2B4 https://t.co/LGwokSJJBX"
1543534442588823554,2022-07-03 09:57:43+00:00,4,2,0,"ENTREVISTA | El escritor irlandés Colm Tóibín: El drama en Thomas Mann es la distancia entre vida interior y pública.

Por Irene Dalmases
https://t.co/WGcP83Y4T2"
1543534064153628677,2022-07-03 09:56:13+00:00,2,2,1,"El Festival de Granada denuncia la ""espantada"" del concierto del cantaor Juan Cortés Duquende.

https://t.co/USyf1l1DSX"
1543529842217553920,2022-07-03 09:39:26+00:00,5,6,0,"Los heridos han sido evacuados a los hospitales del Parque Tecnológico de la Salud (PTS) y al de Traumatología de la capital granadina.

https://t.co/GgQFGanhBk https://t.co/wPZiRVPYXC"
1543529454588362752,2022-07-03 09:37:54+00:00,11,2,0,"CRÓNICA | El “Libro de los Muertos”, papiro de 17 metros y 3.000 años lleno de hechizos.

Por Imane Rachidi 
https://t.co/VQFCBR9ouv https://t.co/32IBFmSouF"
1543526979802218498,2022-07-03 09:28:03+00:00,14,3,0,"El teniente coronel herido en Valladolid sigue estable dentro de la gravedad.

https://t.co/xwKU7OBYZw"
1543526063854190592,2022-07-03 09:24:25+00:00,32,7,1,"El ciclista Alejandro Valverde, ya en casa tras ser dado de alta hospitalaria y podrá disputar la Vuelta.

https://t.co/804UnKeAoH https://t.co/ZehoVkAcB0"
1543523007829872641,2022-07-03 09:12:16+00:00,3,3,0,"ENTREVISTA | El diseñador Francis Montesinos: Yo sé dirigir la costura pero nunca he cosido un botón.

Por Inmaculada Martínez  
📸Kai Försterling
https://t.co/aWXBKM00Sd https://t.co/1fo662XwPA"
1543520214503067649,2022-07-03 09:01:11+00:00,8,8,2,"Once comunidades en alerta ante las elevadas temperaturas y fuertes tormentas.

https://t.co/feU05MC2JX"
1543519855680389122,2022-07-03 08:59:45+00:00,6,7,1,"Ocho ecosistemas únicos en España amenazados por la contaminación industrial.

https://t.co/chKIQ9jeaU"
1543516895315480577,2022-07-03 08:47:59+00:00,9,5,0,"Picasso y El Greco, dos genios libres.

Por Lidia Yanel
📸Ángeles Visdómine
https://t.co/mQkHQGgn0u https://t.co/V3XHgwhekF"
1543515157158060032,2022-07-03 08:41:05+00:00,3,0,0,"El catarí Al Sadd renueva por un año a Santi Cazorla y Rodrigo Tabata.

https://t.co/GKWxabXct2"
1543514951414939649,2022-07-03 08:40:16+00:00,13,10,1,"#ÚLTIMAHORA | Un muerto y 35 heridos, 7 graves, en una colisión de dos autobuses y un turismo a la altura del kilómetro 210 de la autovía A-92 a su paso por Moraleda de Zafayona (Granada). https://t.co/8iu7uyZ0ts"
1543513364965490688,2022-07-03 08:33:57+00:00,7,5,0,"El incendio de Zamora, ""oportunidad"" para repoblar con especies autóctonas.

Por Julio Mármol
https://t.co/e7q13oczDP"
1543513044772442112,2022-07-03 08:32:41+00:00,24,4,1,"La ajedrecista Judith Polgar derrotó a Magnus Carlsen en Madrid.

https://t.co/uv4cGXXug2 https://t.co/6elb8oxJhs"
1543509199992365057,2022-07-03 08:17:24+00:00,8,10,1,Un muerto y cinco heridos graves en una colisión entre dos autobuses y un turismo en Moraleda Zafayona (Granada). https://t.co/XLWSeAanYf
